Id,Position,First Name,Last Name,Expected Points,Salary,Team,Opponent
14757,RB,Matt,Asiata,2.5,4700,MIN,DEN
11504,WR,Andre,Roberts,2.6,4700,WAS,PHI
39449,WR,Charles,Johnson,2.5,4700,MIN,DEN
39445,WR,Brice,Butler,0,4700,DAL,NO
22336,WR,Josh,Bellamy,3.8,4700,CHI,OAK
6810,K,Dan,Carpenter,8.7,4700,BUF,NYG
10744,K,Graham,Gano,8.7,4700,CAR,TB
24912,K,Dustin,Hopkins,7.5,4700,WAS,PHI
25886,WR,Devin,Street,0.8,4700,DAL,NO
6672,TE,Marcedes,Lewis,0,4700,JAC,IND
29734,WR,Ty,Montgomery,4.7,4700,GB,SF
12533,D,Green Bay,Packers,6.3,4700,GB,SF
22100,K,Randy,Bullock,6.7,4700,HOU,ATL
12528,D,Cincinnati,Bengals,8,4700,CIN,KC
6664,TE,Jacob,Tamme,4.8,4700,ATL,HOU
12531,D,Denver,Broncos,17.7,4700,DEN,MIN
11577,WR,Riley,Cooper,1.3,4700,PHI,WAS
6702,K,Phil,Dawson,4.7,4700,SF,GB
24862,WR,Rashad,Greene,7,4700,JAC,IND
6768,WR,Eddie,Royal,4,4700,CHI,OAK
22048,RB,Robert,Turbin,4.2,4700,CLE,SD
29593,WR,Marqise,Lee,3.4,4600,JAC,IND
22958,RB,Bobby,Rainey,1.1,4600,TB,CAR
14240,TE,Lance,Kendricks,5.1,4600,STL,ARI
34275,RB,Storm,Johnson,3.5,4600,JAC,IND
14301,RB,Kendall,Hunter,0,4600,SF,GB
12903,WR,Andrew,Hawkins,4.2,4600,CLE,SD
47953,WR,Lucky,Whitehead,0,4600,DAL,NO
38301,TE,Darren,Fells,6,4600,ARI,STL
33714,K,Cairo,Santos,6,4600,KC,CIN
33703,WR,Ryan,Grant,3.3,4600,WAS,PHI
44351,WR,L.T.,Smith,0,4600,IND,JAC
22228,TE,Chase,Ford,3.9,4600,MIN,DEN
29827,TE,Joseph,Fauria,2.6,4600,ARI,STL
6910,K,Robbie,Gould,9.3,4600,CHI,OAK
7870,TE,Benjamin,Watson,3.3,4600,NO,DAL
6682,TE,Owen,Daniels,5.4,4600,DEN,MIN
22108,RB,Vick,Ballard,0,4600,IND,JAC
22109,K,Greg,Zuerlein,7.7,4600,STL,ARI
22110,K,Blair,Walsh,6,4600,MIN,DEN
11538,TE,Garrett,Graham,2.9,4600,HOU,ATL
12529,D,Cleveland,Browns,7.7,4600,CLE,SD
28080,WR,Devin,Funchess,1.8,4600,CAR,TB
6688,WR,Jerricho,Cotchery,7.1,4600,CAR,TB
14394,TE,Virgil,Green,3.8,4600,DEN,MIN
22018,WR,Mohamed,Sanu,3.6,4600,CIN,KC
